"Gene_Name","Gene_ID","Gene_Description","Chromosome","Aliases","Pubmed_ID","Homologene_ID","int_protein"
"ASRGL1","80150","ASRGL1 asparaginase like 1","11","ALP; ALP1; CRASH; FLJ22316; ASRGL1","159300340","11825","NA"
"ATAD2","29028","ATAD2 ATPase family; AAA domain containing 2","8","ANCCA; MGC5254; PRO2000; MGC29843; MGC131938; MGC142216; DKFZp667N1320; ATAD2","159300340","6044","ESR1,NCOA3"
"ATP2C2","9914","ATP2C2 ATPase; Ca++ transporting; type 2C; member 2","16","SPCA2; KIAA0703; DKFZp686H22230; ATP2C2","159300340","73463","NA"
"ATP8A2","51761","ATP8A2 ATPase; aminophospholipid transporter; class I; type 8A; member 2","13","IB; ATP; ML-1; ATPIB; DKFZp434B1913","17043662","4443","NA"
"ATP8B2","57198","ATP8B2 ATPase; class I; type 8B; member 2","1","ATPID; KIAA1137; DKFZp434M0219; ATP8B2","159300340","23226","NA"
"ATP9B","374868","ATP9B ATPase; class II; type 9B","18","NEO1L; ATPIIB; ATPASEP; FLJ46612; HUSSY-20; MGC61572; MGC150650; MGC150651; DKFZp686H2093; ATP9B","15604243","21915","NA"
"ATR","545","ataxia telangiectasia and Rad3 related","3","FRP1; MEC1; SCKL; SCKL1","19470935","96916","AATF,BRCA1,CHD4,CHEK1,CHEK2,CLSPN,E2F1,EEF1E1,FLT1,KDR,MSH2,NBN,RAD17,RHEB,TP53,TREX1,XPA,XRCC5"
"B3GAT3","26229","B3GAT3 beta-1;3-glucuronyltransferase 3 (glucuronosyltransferase I)","11","GLCATI; B3GAT3","15604243","56554","B3GAT3"
"BAMBI","25805","BAMBI BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)","10","NMA; BAMBI","159300340","8215","SOX30"
"BCAM","4059","BCAM basal cell adhesion molecule (Lutheran blood group)","19","AU; LU; CD239; MSK19; BCAM","159300340","21149","EPB41,LAMA5"
"BCL2L1","598","BCL2L1 BCL2-like 1","20","BCLX; BCL2L; BCLXL; BCLXS; Bcl-X; bcl-xL; bcl-xS; BCL-XL/S; DKFZp781P2092; BCL2L1","20178603","7639","ANTXR1,APAF1,AVEN,BAD,BAG1,BAK1,BAX,BBC3,BCAP31,BCL2,BCL2L1,BCL2L10,BCL2L11,BCL2L12,BCL2L14,BCLAF1,BECN1,BID,BIK,BMF,BNIP1,BNIP3,BNIP3L,CAPN1,CASP1,CASP8,CASP9,CFLAR,CRYAA,CRYAB,CYCS,FKBP8,HRK,IKZF3,IRS1,IRS2,MAPK8,MCL1,MOAP1,NLRP1,PMAIP1,PPP1CA,PSEN1,PSEN2,RAD9A,RTN1,RTN4,SIVA1,SNCA,SPNS1,TMBIM6,TP53,VDAC1"
"BEX5","340542","BEX5 brain expressed; X-linked 5","X","MGC104434; MGC126446; NGFRAP1L1","17043662","53470","NA"
"BIRC5","332","BIRC5 baculoviral IAP repeat containing 5","17","API4; EPR-1; BIRC5","16826583","37450","AURKB,BIRC5,BIRC6,CASP3,CASP7,CASP9,CDCA8,CDK1,CDK4,DIABLO,HSP90AA1,INCENP,RASA1,XIAP,XPO1"
"BRAF","673","v-raf murine sarcoma viral oncogene homolog B1","7","NS7; BRAF1; RAFB1; B-RAF1; FLJ95109; MGC126806; MGC138284","16144912","3197","AKT1,BRAF,HRAS,MAP2K1,MAP2K2,MAPK1,MRAS,OIP5,PRKACA,PRKCE,RAF1,RAP1A,RAP1GAP,RHEB,SGK1,YWHAB,YWHAG,YWHAH,YWHAQ,YWHAZ"
"BST2","684","BST2 bone marrow stromal cell antigen 2","19","CD317; TETHERIN; BST2","17043662","48277","NA"
"BTN2A1","11120","BTN2A1 butyrophilin; subfamily 2; member A1 [","6","BTF1; BT2.1; DJ3E1.1; BK14H9.1; FLJ36567; BTN2A1","15604243","56017","NA"
"C19ORF33","64073","chromosome 19 open reading frame 33","19","IMUP; H2RSP; IMUP-1; IMUP-2; MGC39135; MGC75180","18507030","0","NA"
"C1QTNF3","114899","C1QTNF3 C1q and tumor necrosis factor related protein 3","5","CORS; CORCS; CTRP3; CORS26; C1ATNF3; CORS-26; FLJ37576; C1QTNF3","18949382","12788","NA"
